gid,customer_tweet_id,brand_tweet_id,created_at,context,customer_message,brand_reply,n_context_turns,customer_seen_in_kb,intent,should_escalate,escalation_reason,note,taxonomy_gap,insufficient_context,multi_intent,evidence_unavailable
g082,588190,588189,2017-12-03 13:01:35+00:00,,امرضتونا بتحديثاتكم لاعاد تحدثون <url>,We offer support via Twitter in English. Contact us for help in your preferred language here: <url>,0,False,non_english,False,none,Arabic,False,False,False,True
g083,559781,559783,2017-12-02 22:10:15+00:00,"customer: is there a trick to deleting apps now? whenever I press and hold I only get an option to share it 🤔
brand: We can help with this. It sounds like you're encountering 3D Touch. You'll want to do a lighter tap and hold to delete the apps from the Home screen in this fashion. You can also adjust 3D Touch's sensitivity from Settings > General > Accessibility > 3D Touch, if needed.",Thank you!,You're quite welcome. We're always glad to help. Take care.,2,True,other,False,none,thanks,False,False,False,False
g084,553661,553659,2017-12-02 15:56:18+00:00,,Dear your iOS update 11.2 broke my visual voicemail. <url>,"Thanks for reaching out. Since the update have you completed a normal restart of your iPhone? If not, do so now and let us know the results. We want to ensure your visual voicemail is working again.",0,False,apps_services,False,none,visual voicemail,False,False,False,True
g085,2948394,2948392,2017-11-29 15:00:02+00:00,,why is my iPhone X doing this when flicking through contacts? <url>,We’re happy to look into this further with you. Let us know if the issue persists after you restart your iPhone following these steps: <url>,0,False,general_complaint,False,none,video-only glitch in Contacts; assume display/lag glitch,False,True,False,True
g086,557894,557892,2017-12-02 20:17:03+00:00,"customer: Dear I’m tired of not being able to use my music app after this stupid update 🤷🏼‍♀️
brand: We want to help. What happens when you attempt to use the Music app? What iOS version is currently installed on your device?","Latest update but, when I open up my music app i can’t press anything and it won’t play anything.","The app opens, but none of the controls respond whatsoever? Is that correct?",2,False,apps_services,False,none,,False,False,False,False
g087,549635,549634,2017-12-02 12:27:52+00:00,,my beats are having weird audio issues,Let’s get you pointed in the right direction. Our team will take it from here.,0,True,connectivity,False,none,"Beats audio issue, no damage stated; clarify (could be Bluetooth)",False,False,False,False
g088,523869,523868,2017-12-02 03:33:21+00:00,,why ios 11.1.2 often self rebooting? It back to passcode again,We want you to have an iPhone that works. Send us a DM and we'll tackle this issue together. <url>,0,False,performance_crash,False,none,,False,False,False,False
g089,596854,596856,2017-12-03 19:36:27+00:00,"customer: This phone is dope but it’s too fucking buggy I’m sick of it
customer: 
brand: That's not the type of experience that we want you to go through. What issue(s) are you experiencing with your device?","My Face ID is trash it won’t unlock sometimes, it freezes, the sensitivity touch thingy is really hard to press it’s stupid buggy",Which iOS version is your device currently running? We want to make sure that you're running the latest version. You can check this through Settings > General > About.,3,False,performance_crash,False,none,Face ID misses + freezes + touch; treated as general device bugginess,False,False,True,False
g090,2910470,2910469,2017-11-28 21:13:42+00:00,,"hey, i’m having an issue with my emojis",We’re here to help. Can you tell us what is happening?,0,False,keyboard_text_bug,False,none,emoji issue,False,True,False,False
g091,509541,509540,2017-12-01 22:00:07+00:00,,"Apareció esto en mi Mac y no puede arrancar, se reinicia. ¿Alguien sabe que es? 🤔😢 <url>",We offer support via Twitter in English. Get help in Spanish here: <url> or join <url>,0,False,non_english,False,none,,False,False,False,True
g092,563965,563964,2017-12-03 00:05:16+00:00,,my iPad Pro touch screen stopped working not had it 12 months but no receipt - I'm screwed aren't I,We know how important your iPad can be. Shoot us a DM of what country or region you're in and let's take a further look. <url>,0,False,hardware_damage,True,hardware,warranty decision without receipt,False,False,False,False
g093,566801,566800,2017-12-02 15:53:43+00:00,,Why are there pics in my phone that i can’t even use this is retarded,Let's look into this together. What issue are you experiencing when accessing photos? Are these photos that were taken with your iPhone?,0,False,data_loss_sync,False,none,photos inaccessible; slur present but has symptom,False,False,False,False
g094,595788,595787,2017-12-03 18:10:27+00:00,,"Hi there, since I 've update my Mac pro late 2013 (GPU AMD FirePro D300 ) to OS El Capitan I 'm experimenting sporadicly freezes of the computer that force me to turn it off by pressing the power button :( Do you have any solution to this annoying issue ? Thanks","We're happy to help with this. Can you tell us the exact version of macOS you're using? You can find that by going to the  Apple menu in the upper left corner of your screen and clicking ""About this Mac"".",0,False,performance_crash,False,none,,False,False,False,False
g095,589461,589463,2017-12-03 16:55:36+00:00,"customer: can you update something so my phone doesn’t keep shutting off every 15 seconds please?!
brand: We’ll do everything we can to help you sort this out as quickly as possible. This article goes over how to resolve the problem with your iPhone restarting on its own: <url>",Thank you!!,You're welcome. Reach out to us again if you need help with anything else. We're here for you.,2,True,other,False,none,thanks,False,False,False,False
g096,2964186,2964188,2017-11-29 22:26:50+00:00,"customer: Since upgrading to iOS 11.1.2 my phone app won’t work? Tried resets and nothing. Any other ideas? Having to use Siri to make calls and get VM.
brand: We'll be happy to assist with this. When you try to use the Phone app, does it simply exit directly to the home screen?","No, it just opens to a blank screen. The icon still tells me I have VM or missed calls. <url>","Have you forced the Phone app to closed, restarted your iPhone, and tried to open it again? Let's start off by doing that: <url>",2,True,apps_services,True,repeat_contact,Phone app blank; 'tried resets' stated in thread,False,False,False,True
g097,2911751,2911750,2017-11-28 21:28:11+00:00,,Hey iOS 11 Conference call has a #bug. When calls are merged it's not possible to isolate calls. Hanging up on one call disconnects everyone. Even if someone hangs up disconnects everyone.,Send us a DM and let us know more details. Be sure you have updated to iOS 11.1.2: <url> <url>,0,False,apps_services,False,none,conference call merge bug,False,False,False,False
g098,513641,513637,2017-12-01 23:16:32+00:00,,upgraded to iOS 11.1.2 on my iPhone 6. Phone closes apps and goes to lock screen every few minutes. Unusable! Help!,"Let's take a closer look at your iPhone's apps to get them running smoothly. Which ones is this happening with specifically, or does it occur with all apps? Have you tried any steps so far, like checking for app updates or a restart, as two examples?",0,False,performance_crash,False,none,,False,False,False,False
g099,2905228,2905227,2017-11-28 19:11:39+00:00,"customer: throwaway 02 sweatshirt 1of1 $60 i have a car payment due today so whoever buys it will be receiving some unreleased music as well hmu <url>
customer: oh ya size medium and the sweatshirt is red SRY I️ FUCKING SUCK AT BEING AN ARTIST",AGAIN W THE FUCKING “I” SHIT FIX THIS SHIT OR I WILL FUCKING KILL MYSELF I SWEAR TO KIRA,There is a new iOS update available that includes a fix for autocorrect issues in the update. It’s iOS 11.1.2. You’ll want to back up your device before any update. How to back up: <url>,2,False,keyboard_text_bug,True,safety,"self-harm statement, even if hyperbolic; human must handle",False,False,False,False
g100,2955430,2955429,2017-11-29 18:37:30+00:00,,Que se passe-t-il avec #Apple music ?? Impossible de se connecter. Écran blanc.. <url>,We offer support via Twitter in English. Contact us for help in your preferred language here: <url>,0,False,non_english,False,none,French,False,False,False,True
g101,568411,568410,2017-12-03 02:11:35+00:00,,"You'd think that —a company with virtually unlimited resources—could get services right. Other, much smaller, teams can do it. #WTAF #AppleFail #ApplePhotos … <url>",Can you see your iCloud photos on any other device? We would love to get this resolved for you.,0,False,general_complaint,False,none,"sarcastic rant, no concrete symptom",False,True,False,True
g102,520248,520249,2017-12-02 02:54:46+00:00,"customer: What to do when iPhone starts showing black screen with spinning wheel, then locks down? Force restart didn’t worked
customer: I have the same problem now😡
brand: We'd love to see what we can do to help out. Which iPhone model do you have? Also, which version of iOS are you running? Let us know the details in a DM and we'll work together on this: <url>",iphone 7 with the latest IOS. now ive switched the time settings and the phone seems to work fine. but when i switch the time back it keeps showing that spinning wheel and locks my phone.,"We're glad that you found a work around for the issue at hand. To look into further possible solutions, we'll need to gather some additional information. Please provide us with: -Your name -Serial number of your iPhone -Your country with postal code",3,False,performance_crash,False,none,force restart failed per thread; workaround found; 1 brand turn,False,False,False,False
g103,585859,585858,2017-12-03 10:47:37+00:00,,Something is wrong with my phone. I’m on my old phone but my new phone (the X) keep restarting like wtf,"We definitely want you to be able to use your iPhone X, so we're glad to help. Please take a look at this article, which details steps to take if your iPhone is restarting: <url>",0,False,performance_crash,False,none,,False,False,False,False
g104,581943,581945,2017-12-03 17:03:08+00:00,"customer: …my phone screen is doing some outlandish stuff rn… Any word on issues with the backlights going out?
brand: Thank you for reaching out for support with your iPhone, we're happy to help. To help us better understand the issue, do you mind describing what you're experiencing? Also, which iPhone model and iOS version are installed currently?",I have iOS 11.1.2 The screen works but there are the vertical and horizontal lines across my screen that make it difficult to see. Near the top of the screen some of the LCDs even appear to be dark/blown out. It just happened last night.,"So that we can take a deeper look, can you DM us what model iPhone we're working with? <url>",2,False,hardware_damage,True,hardware,lines + blown-out LCD pixels = physical display fault,False,False,False,False
g105,584695,584694,2017-12-03 09:04:46+00:00,customer: Installed iOS 11.2 update and now battery is dropping 1% every minute or so. I am over this nonsense .,Same here! Found a solution yet?,"That's not the experience we want for anyone after updating. Let's take a look at your battery together in DM. Let us know the model of iPhone you're running, too! <url>",1,False,battery_power,False,none,'same here' in battery thread,False,False,False,False
g106,484565,484564,2017-12-01 08:53:38+00:00,,visual bug in Mail <url>,"Thanks for the screen recording showing this issue with Mail. Can you tell us when this first appeared? Which version of iOS was installed? Have you tried any steps, such as restarting your device, to correct this issue?",0,True,apps_services,False,none,,False,False,False,True
g107,2903688,2903686,2017-11-28 18:59:16+00:00,,What’s going on with my clock <url>,Let's find out what's going on. Has the device been restarted since the app started showing the incorrect time in the dock?,0,True,apps_services,False,none,Clock app/icon,False,False,False,True
g108,2940352,2940356,2017-11-29 19:38:24+00:00,"customer: Home app only works on 1 device at a time. What kind of garbage is this?
brand: Thanks for reaching out. Can you tell us a bit more about what's happening? You can learn more about the Home app and how it works here: <url>","Both have Keychain and Home turned on in iCloud settings. Tried turning off/on, rebooting. No change.",Thanks for that info. We'd recommend going ahead and backing up your devices and then updating to the latest version of iOS which is iOS 11.1.2. Then test out that issue and let us know if it persists. This can help: <url>,2,False,apps_services,True,repeat_contact,rebooted / toggled already,False,False,False,False
g109,554788,554787,2017-12-02 18:17:12+00:00,,"we have an iPhone 6s and iPhone 7 that are turning off as though no battery then turning back on after a few minutes, help?","Thanks for reaching out, we'd like to help. Is this issue occurring on iOS 11.1.2? If so, we recommend the steps for updating here: <url> DM us if you have any questions and keep us posted on the results. <url>",0,False,battery_power,False,none,shutdown 'as though no battery' then back on; could be reboot bug,False,False,False,False
g110,452593,452592,2017-11-30 22:13:33+00:00,,"Hey , why do texts just keep getting deleted from my conversations and all my apps just keep closing on me? Let me know, thanks 🙃",Losing messages from friends and family is not OK. Let's get to the bottom of the issue. Which iOS version is currently installed? You can find that in Settings > General > About. Please DM us at the link below. <url>,0,False,data_loss_sync,False,none,first symptom texts deleted,False,False,True,False
g111,2947008,2947007,2017-11-29 14:54:58+00:00,,"what gives? iCloud not working or down and I can’t access 8000 of my photos or 10,000 of my songs! Yes, I reset and logged out and in.","We want to help you access your iCloud info. It sounds like you can log in but aren't seeing your photos or music. DM us if you use iCloud Photo Library and iCloud Music Library. Also, include the device and OS you're having this issue on. We'll help there. <url>",0,False,data_loss_sync,True,repeat_contact,reset and logged out/in already,False,False,False,False
g112,2947043,2947042,2017-11-29 14:38:59+00:00,,So why is this happening? <url>,That is interesting. Thanks for reaching out. Are you able to tell us if any of your friends are experiencing the same issue with this album? Let us know in DM. <url>,0,False,general_complaint,False,none,"no symptom in text, image only",False,True,False,True
g113,493600,493599,2017-12-01 16:32:46+00:00,,Proofreading <url>,"Hello Eric, we'd be happy to look into this with you. DM us and we'll get started there. <url>",0,False,other,False,none,single word + image; no symptom,False,True,False,True
g114,2873368,2873367,2017-11-28 03:57:57+00:00,,"My alarms are not working. Screens are appearing when they go off, but no sound. Phone keeps freezing, home and power buttons stop working, apps don’t open and freeze. When’s the next update to fix this? My alarms are my biggest concern as they are important!",We'd like to help. Send us a DM and we can start there. <url>,0,False,apps_services,False,none,first symptom alarms silent (Clock); freezing second,False,False,True,False
g115,2899026,2899024,2017-11-28 17:17:08+00:00,,"Hey my 5S is on drugs since I update to the 11, is there any suggestions to rehab it? This issue appears randomly when I use the camera... <url>","We'd love to look into this further with you. Is this only happening with the Camera app? Does it appear this way when in other modes, such as Video?",0,False,apps_services,False,none,camera glitch with image,False,False,False,True
g116,539990,539988,2017-12-02 05:05:50+00:00,,Setting up new phone. Tons of these messages. Wtf? halp <url>,Hi there. This isn't what we'd expect when setting up a new iPhone and we'd like to help. Have you used another Apple ID or changed iTunes Store countries previously? Which iOS version is installed?,0,False,general_complaint,False,none,"setup messages, image only; clarify",False,True,False,True
g117,1184432,1184431,2017-12-02 22:42:13+00:00,,iphone 6s restarting after every 2 minutes & not asking passcode. Finger print scanner is working after every restart. Isnt this security breach?. Pls look into this urgently,"We’d love to help. See our guide here: <url> Let’s have you create a backup, disable notifications, and update the software to iOS 11.2. You could then enable notifications after updating. Send us a DM if we can help further. <url>",0,False,performance_crash,False,none,,False,False,True,False
g118,2913303,2913301,2017-11-28 22:22:23+00:00,,Hey WHO is the responsible about your shit quality control? Our beloved osx is a buggy shitty unstable unusable crap now.,We'd like to know what specifically is happening. Send us a DM and we'll work together with your Mac. <url>,0,False,general_complaint,True,vague_hostile,"abusive, no actionable symptom",False,True,False,False
g119,600437,600436,2017-12-03 20:33:55+00:00,,Is the 9.7 iPad Pro no longer available?,Thanks for reaching out. Here's what we have available for the iPad Pro: <url>,0,False,other,False,none,product availability,False,False,False,False
g120,2892020,2892022,2017-11-28 15:22:12+00:00,"customer: Yesterday I opened iTunes and all my music and playlists were gone. Not sure why. How can I restore?
brand: We's love to look into this with you. Which device did this happen on and was it through iTunes only or Apple Music?",iTunes Library and Playlists,"Which device were you using? Also, have you changed your Apple ID or password recently?",2,False,data_loss_sync,False,none,,False,False,False,False
g121,94819,94820,2017-11-30 16:36:12+00:00,"customer: Buggiest app on my #iPhone SE: ""Phone."" VMs constantly crash it, making the touchscreen nonresponsive and requiring a restart.
brand: Being able to catch up on those missed calls is an important feature and we'd like you to have access without your iPhone becoming unresponsive. Which iOS version are we working with? You'll find that in Settings > General > About.
customer: 11.1.2 (15B202). Happens inconsistently when I listen to a VM without finishing playback.
brand: When did this start happening? Did you notice it start after an update or anything in particular?","Can’t recall exactly. At least 3x before today. Today was the first time closing the app didn’t solve the problem. I closed, but when I reopened, screen went white then crashed to home screen. Had to restart the phone.","Alright, DM us your country to look into more options.",4,False,apps_services,True,repeat_contact,"Phone app crashes; 2 brand turns, restarts tried",False,False,False,False
g122,592299,592298,2017-12-03 16:29:17+00:00,,"is at it again - since updating my phone, my battery keeps dying. Fix this now!!",This is not the experience we want you to have. Send us a DM and let us know which country you are located in. <url>,0,False,battery_power,False,none,,False,False,False,False
g123,537626,537625,2017-12-02 04:13:35+00:00,,I'm having issues where my iPhone randomly shuts down and exits all applications after only 30 seconds of use... It's not turning off but it's having the same effect. Unsure of what's going on #sos,We're happy to help. Which iOS version are you using on your iPhone?,0,False,performance_crash,False,none,respring-like,False,False,False,False
g124,542478,542477,2017-12-02 07:17:58+00:00,,New iPhone X starts randomly resetting itself... great job,"We want to help. If your new iPhone X with iOS 11 unexpectedly restarts, this article will walk you through a solution: <url> Let us know if you have any other questions. We're here for you.",0,False,performance_crash,False,none,,False,False,False,False
g125,554882,554884,2017-12-02 21:09:09+00:00,"customer: why does my phone keep freezing when I switch between apps? Everything was fine and then I downloaded the update, oh and fix this “I.T” too. Fucking fix “I.T“ #StillOnIphone7Hype
brand: Thanks for reaching out. Could you tell us what kind of iPhone are you using and what is the exact iOS version you're running? Tap Settings > General > About and let us know.",iPhone 7+ software: 11.2,"Let's start with the auto-correct issue. Try resetting your Keyboard dictionary. Settings > General > Reset > Reset Keyboard. Then, once the reset is done, restart your iPhone. Let us know if this resolves the issue.",2,False,keyboard_text_bug,False,none,I-bug mentioned in thread wins over freezing,False,False,False,False
g126,2946999,2946997,2017-11-29 15:17:29+00:00,,Yo you need to get your shit together this is like the 3rd time youve deleted my fucking library with an update YOU AND I BOTH KNOW THAT CAM’RON KILLA SEASON WAS NOT THE LAST ALBUM I DOWNLOADED. WE SWITCHING TO SPOTIFY.,"We'd like to look into this with you. To make sure we understand, since updating you've lost some downloaded music through Apple Music, is that correct?",0,False,data_loss_sync,False,none,library deleted by update; abusive but symptomatic,False,False,False,False
g127,2894695,2894694,2017-11-28 16:09:01+00:00,,how do I get my iPhone seven repaired or replaces its under warranty and its not been working how do I get in touch with you,We'd be happy to look in to your options with you. Please DM us a bit more about what's happening with your iPhone 7. <url>,0,False,account_store_repair,True,hardware,warranty repair/replace,False,False,False,False
g128,582701,582700,2017-12-03 05:48:29+00:00,"customer: ""No matter where you go, there you are."" Except I'm not. My iPhone GPS is all askew. And I'm somewhere I'm not. Reason enuf to get the X.",My Iphone 7 plus positions me 200ft behind so I miss every turn - just sucks. Wish would fix.,We want to make sure you get the help you need with this. Let's have you reach out to our support teams via the following link. They'll be best equipped to assist you from here: <url>,1,True,connectivity,False,none,"GPS offset; no location bucket, closest is connectivity",True,False,False,False
g129,588167,588166,2017-12-03 12:54:12+00:00,,We’ll talk after a few months... 😁,"Hey there, please DM us and we'll further review this for you. <url>",0,False,other,False,none,off-topic,False,False,False,False
g130,460875,460874,2017-12-01 01:44:09+00:00,,WTF is this?? None of my messages are in my inbox anymore <url>,"Hello. We can see how alarming missing information can be. No worries, we'll take a look. What task were you doing on the device just before this occurred? Send us a DM. <url>",0,False,data_loss_sync,False,none,,False,False,False,True
g131,588062,588064,2017-12-03 16:08:33+00:00,"customer: hi I want to change simcard on my iPhone SE (ios 11) but it said that the simcard not valid, then I tried to put back the simcard that I usually use but the simcard not valid showed again. what to do? I cant use my phone rite now :(
brand: Hello and thanks for reaching out. Let's see what we can do to get this resolved. When you changed the sim card, did you follow these steps: <url>","yes of course, I try to place it right for many times but it still didn't work",Got it. Thanks for confirming that. Do you have another device that you could try to insert the SIM card in? This will help us isolate the issue further.,2,False,connectivity,True,repeat_contact,SIM not valid; reinserting is not a standard step,False,False,False,False
g132,584750,584749,2017-12-03 08:53:25+00:00,,"Hi, I cancelled a subscription for FilmMaker Pro on the App Store, but I have still been charged £44.99 for a whole year?",For this particular issue let's get you in touch with an iTunes Store Advisor for further assistance at: <url>,0,False,account_store_repair,True,private_info,refund,False,False,False,False
g133,2921564,2921562,2017-11-29 01:06:52+00:00,,I have an open case and it is falling on deaf ears. My 17 MBP keeps frying (smoke & all) my USB SD card readers. Please help!,That's certainly not the experience you should have when speaking with one of our support channels and we definitely want to help with this issue. Join us in a DM by selecting the following link and we'll go from there. <url>,0,False,hardware_damage,True,safety,smoke from USB port; open case also -> repeat_contact,False,False,False,False
g134,514775,514774,2017-12-01 23:49:15+00:00,,"Our Safari browsers since the last Apple security update, keep crashing, the minute you open Safari it crashes, we keep sending in the reports. Is there a problem with the last security update that would do this?","That's not expected behavior after an update, and we want to help. Try the steps here and let us know if it helps: <url>",0,False,apps_services,False,none,Safari crash,False,False,False,False
g135,566791,602394,2017-12-03 21:44:41+00:00,customer: Seems iOS 11.2 #Camera has a focus issue. Just in time for my cousins wedding tonight. Guess I won't be taking any pics. #AppleFail #iPhoneX,Same here - hope 11.2.1 will come soon and fix this. No chance of solving this one with any of the usual tricks.,We'd like to learn more about this situation. Send us a DM with some more details to get started. <url>,1,False,apps_services,False,none,'no chance with usual tricks' = steps tried; weak,False,False,False,False
g136,448359,448358,2017-11-30 20:14:15+00:00,,"If you browse the App Store for a certain time, and try to watch video previews, then the video turns black, it’s happening since iOS 11! It needs to be fixed. <url>",Thanks for reaching out about this. DM us anything you've tried already on your own to resolve this. We'll continue there. <url>,0,True,apps_services,False,none,,False,False,False,True
g137,448402,448401,2017-11-30 20:02:47+00:00,,Still no response from you! Since I’ve updated to iOS 11 I can not connect to unsecured networks. It’s a know issue. What are you doing to fix it? Tried on my friends phone(not updated) and was able to connect. Tried on mine and still nothing. Proof it’s the update!,Thank you for reaching out. We're happy to look into this issue with you. Join up with us in DM; we'll continue from there. <url>,0,False,connectivity,True,repeat_contact,'still no response',False,False,False,False
g138,2945691,2945690,2017-11-29 13:15:50+00:00,,all of the photos on my camera roll got deleted! Are you serious I’m so annoyed!!! About 1 hour ago they were all there now gone! 🤬😡 #Apple,"Hey there. We've received your DM, and will be following up with you there. Be on the lookout for our reply.",0,False,data_loss_sync,False,none,,False,False,False,False
g139,538735,538734,2017-12-02 04:31:22+00:00,,Urgente!! Alguien me puede ayudar con este problemita? Quise actualizar no pudo y me dejo así 😱 <url>,We offer support via Twitter in English. Get help in Spanish here: <url> or join <url>,0,False,non_english,False,none,,False,False,False,True
g140,90542,90541,2017-11-30 12:07:41+00:00,"customer: Pues yo ayer estuve intentando hacerlo. Pero siempre error 3194 Así que no se como hacer retorno a 10.3.3
customer: se supone que todavía está firmada.
customer: Pues a mi me da de que aunque aparezca como firmada, no es posible instalar en mi 6s. Toda una pena, puesto que mi móvil dura cargado unas 4 horas. Antes haciendo lo mismo todo el día. Es inadmisible lo que están haciéndonos los de <url>
customer: Pudiste restaurarlo? A mi me sale el mismo error igual se supone que sigue firmado","tengo el iPhone 7 plus, no me permiten ni descargar el archivo iPSW",We offer support via Twitter in English. Get help in Spanish here: <url> or join <url>,4,False,non_english,False,none,,False,False,False,False
g141,2950937,2950936,2017-11-29 17:23:11+00:00,,"I cleared my Safari history and cache as suggested but these keep popping up on my phone every time I go to view a local news article or an article on . I can’t find help on it, please help me! <url>",Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. <url>,0,False,apps_services,True,repeat_contact,"cleared cache as suggested, still popping up",False,False,False,True
g142,537593,537592,2017-12-02 04:27:07+00:00,,iOS 11.1.2 has left my phone unusable:,Thank you for taking the time to reach out to us. Please follow the steps here: <url> Let us know if you're still experiencing issues after.,0,True,general_complaint,False,none,'unusable' no symptom,False,True,False,False
g143,563089,563088,2017-12-02 23:11:35+00:00,,WTF por qué cojones me acaba de llegar un correo de que se me cobran 10€ para pagar mas espacio de iCloud cuando yo no he autorizado ni he pedido nada de eso????,We offer support via Twitter in English. Get help in Spanish here: <url> or join <url>,0,False,non_english,False,none,,False,False,False,False
g144,2906803,2906802,2017-11-28 19:32:20+00:00,,"Ok, I’m glad fixed the weird “I” issue but now my phone is changing “it“ to “I.T” 🙄🤬 is anyone else having this issue?!",May we take a look? Feel free to DM us what country you're located in and we'll go from there. <url>,0,False,keyboard_text_bug,False,none,,False,False,False,False
g145,546585,546584,2017-12-02 10:56:01+00:00,,is this you? <url>,"Great question! We're glad you reached out, as that does not look to be an email from us. Check out <url> for more information on identifying legitimate emails coming from Apple, and how to report them if they are not.",0,False,other,False,none,'is this you?' likely phishing check; canned reply,False,True,False,True
g146,2947057,2947056,2017-11-29 14:46:29+00:00,,should we be worried about the ROOT issue? How do we fix?,Thanks for reaching out. We want to help. Send us a DM letting us know which country you are located in. <url>,0,False,general_complaint,False,none,"question about root vulnerability, not a device symptom",True,False,False,False
g147,515855,515853,2017-12-02 00:28:36+00:00,,"iPhone q. How come when I toggle off WiFi, it just automatically comes back on to continue terrorizing me w password requests?",We can help answer this. Are you using the Settings app or the Control Center to turn off your Wi-Fi?,0,False,connectivity,False,none,Wi-Fi toggle in Control Center,False,False,False,False
g148,561819,561816,2017-12-02 22:34:47+00:00,,can’t connect iPhone neither iPad via wifi to iTunes when I try to sync after iOS 11.2 upgrade #itunes #iphone,"Sorry to hear you're having issues! What happens, exactly, whenever you try to sync your devices?",0,False,apps_services,False,none,iTunes Wi-Fi sync; could be data_loss_sync,False,False,False,False
g149,603248,603247,2017-12-03 22:08:29+00:00,,"serious question, how do I turn my iPhone X off?Asking for a friend",We can help you out. Take a look at the following article for how to turn off the iPhone X: <url>,0,False,other,False,none,how-to,False,False,False,False
g150,2870770,2870769,2017-11-28 02:20:42+00:00,,"Fallas en Mail y Contactos con actualización MacOS High Sierra. Mail me borró las ""firmas"" de todas las cuentas. En Contactos mientras doy de alta un nuevo contacto se sale de la pantalla de captura",We offer support via Twitter in English. Get help in Spanish here: <url> or join <url>,0,False,non_english,False,none,,False,False,False,False
g151,2921543,2921542,2017-11-29 01:05:34+00:00,,So the speaker in my phone blew out. What the fuck I didn’t pay an exorbitant amount of money for this thing to have the speaker blow on me,We appreciate your time working with us to resolve this issue. Not having your device work properly would concern us too. Dm us so we can get started. <url>,0,True,hardware_damage,True,hardware,speaker blew,False,False,False,False
g152,449438,449439,2017-11-30 21:41:48+00:00,"customer: my Bluetooth doesn’t work
brand: We can help with your Bluetooth! Tell us what's not working with it, please. Are you getting an error?
customer: My iPhone
brand: Would you please tell us more about what you're experiencing with your iPhone and Bluetooth? We'd like to help if we can.",I can’t sync up with anything,"Which devices are you having problems connecting to? Also, you may be able to view those photos in <url>",4,True,connectivity,True,repeat_contact,"2 brand turns, still no detail; guide rule",False,False,False,False
g153,589572,589571,2017-12-03 14:55:06+00:00,,is so annoying to have to wait multiple days to reset a password 🙄🙄🙄,We'd like to know more. Which process are you going through to reset your password?,0,False,account_store_repair,False,none,password reset wait; account recovery needs Apple ID; explanation could be public,False,True,False,False
g154,2944452,2944451,2017-11-29 11:36:30+00:00,,"Why do I lose my notes everytime I update? And I can’t set up my mail again, more hassle than it’s worth 😫",Notes are things we rely on too. Let's see where yours are going. Which device are you using? Are you using iCloud on it?,0,False,data_loss_sync,False,none,notes lost first,False,False,True,False
g155,586961,586960,2017-12-03 12:48:03+00:00,,"Angry🤬🤬, phoned apple care on the 14th November, problem with my watch, said you would send out a box for me to send watch back, never received it, phoned again on 24th, said they’d send out other one, still haven’t received it. What’s going on. Case <PHONE>",Thanks for providing that information. We're happy to look into this with you. Join us in DM so that we can continue to discuss your repair. <url>,0,False,account_store_repair,True,private_info,"case number, repair box never arrived; repeat_contact also fits",False,False,False,False
g156,486101,486103,2017-12-01 15:41:57+00:00,"customer: Is there no way I can use a direct email to talk with a member of customer services please?
brand: Thanks for reaching out to us for support. We would love to help you. When you have a free moment, please check out the following link to learn about the various ways that you can contact us: <url>
customer: I just need a customer service email? Can you send this please? I am a uk customer
brand: We can provide support via Chat, Phone and Twitter. You will be connecting directly with a real person who will be happy to assist. DM us and we'll assist from there. <url>","It’s ok thank you, all sorted now!",We're glad to hear it. Let us know if you have any questions or concerns. We'll assist as best we can.,4,True,other,False,none,closure,False,False,False,False
g157,465492,465490,2017-12-01 04:05:22+00:00,,thanks to ur senior developers I am stranded in Thailand without cellular access on my iPhoneX 😡🤬😩😤 case <PHONE> they erroneously transferred my # back to my 7... IN THE STATES!!,"We know how important it is to have access to your iPhone, and we want to offer guidance on the best path forward. Meet us in DM where we can discuss the trouble you're running into further. <url>",0,False,account_store_repair,True,private_info,case number; number transferred to wrong device; connectivity plausible,False,False,False,False
g158,2918838,2918837,2017-11-29 00:20:13+00:00,,I am having trouble syncing my iPhone with my MacBook. I want to add a cd I imported from iTunes to my phone,"We want to make sure that you're able to sync your music. To confirm, you are using the steps here? <url> If so, what happens when you try to sync?",0,False,apps_services,False,none,iTunes sync how-to,False,False,False,False
g159,2923634,2923633,2017-11-29 02:22:50+00:00,,what genius decided you should have a verification code sent to an apple device to make an appt? I need an appt because my apple device DOESN'T WORK.,"We'd be happy to help! Feel free to DM us what country you're located in, and we'll proceed from there. <url>",0,False,account_store_repair,True,private_info,2FA blocking appointment,False,False,False,False
g160,600416,600414,2017-12-03 20:40:38+00:00,,"sooo... I updated my phone for my “i” to turn into an A with a question mark in a box, and my “it” to turn in “ i.t “ like the fuck apple got going on. get i.t together. 😑","We're here to help! Just to be sure, have you backed up your iPhone and updated to iOS 11.2? The latest release includes a fix for auto correct issues. This article will guide you through the process of backing up: <url>",0,False,keyboard_text_bug,False,none,,False,False,False,False
g161,2944483,2944485,2017-11-29 15:27:12+00:00,"customer: 80% de bateria em 30 minutos de uso... um absurdo em
brand: Since our Twitter support is available in English, get help at <url> or join <url>",Support has already called me,Great. We're glad to hear you are getting some help with your issue. Have a good rest of your day.,2,False,other,False,none,closure,False,False,False,False
